id	species	size	synonyms	symbols	descriptions
1171176	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU01630; BSU01620; BSU01610; BSU01600	feuA; feuB; feuC; ybbA	iron hydroxamate-binding lipoprotein; iron-uptake protein; iron-uptake protein; iron-chelator esterase
1171177	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU01700; BSU01690; BSU01680; BSU01670; BSU01660; BSU01650	murQ; ybbH; ybbF; ybbE; ybbD; ybbC	N-acetylmuramic acid-6-phosphate etherase; transcriptional regulator; sugar phosphotransferase enzyme II; hypothetical protein; beta-hexosaminidase, lipoprotein; hypothetical protein
1171178	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01720; BSU01710	ybbK; ybbJ	hypothetical protein; acyltransferase
1171179	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01740; BSU01730	rsiW; sigW	anti-sigma(W) factor; RNA polymerase sigma factor SigW
1171180	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU01770; BSU01760; BSU01750	glmM; ybbR; ybbP	phosphoglucosamine mutase; hypothetical protein; hypothetical protein
1171181	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU01820; BSU01810	adaB; adaA	O6-methylguanine-DNA methyltransferase; methylphosphotriester-DNA alkyltransferase and transcriptional regulator
1171182	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU01870; BSU01860; BSU01845; BSU01830	ybcH; ybcF; ybcC; ndhF	hypothetical protein; carbonic anhydrase; hypothetical protein; NADH dehydrogenase subunit 5
1171183	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU01950; BSU01935; BSU01920	skfE; skfC; skfB	sporulation killing factor biosynthesis and export; ABC transporter binding protein; sporulation killing factor biosynthesis and export; synthesis of sporulation killing factor A
1171184	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU01980; BSU01970; BSU01960	skfH; skfG; skfF	sporulation killing factor; sporulation killing factor biosynthesis and export; sporulation killing factor biosynthesis and export; ABC transporter permease
1171185	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU02010; BSU02000; BSU01990	ybdK; ybdJ; ybdG	two-component sensor histidine kinase YbdJ; two-component response regulator YbdK; hydrolase
1171186	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02080; BSU02070	ybxH; csgA	hypothetical protein; sporulation-specific SASP protein
1171187	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02170; BSU02160	ybfB; ybfA	carboxylate transporter; hypothetical protein
1171188	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02220; BSU02210	ybfI; ybfH	AraC/XylS family transcriptional regulator; permease
1171189	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02250; BSU02240	ybfJ; mpr	lipoprotein; extracellular metalloprotease
1171190	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU02290; BSU02280; BSU02270	psd; ybfM; pssA	phosphatidylserine decarboxylase; membrane phosphatase; phosphatidylserine synthase
1171191	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02360; BSU02350	nagBB; nagP	glucosamine-6-phosphate isomerase; phosphotransferase system (PTS) glucosamine-specific enzyme IICBA component
1171192	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02380; BSU02370	ybgB; ybgA	hypothetical protein; GntR family transcriptional regulator
1171193	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02430; BSU02420	ybgJ; glnT	glutaminase; glutamine transporter
1171194	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02450; BSU02440	glnL; glnJ	two-component response regulator GlnJ for glutamine utilisation; two-component sensor histidine kinase GlnL for glutamine degradation
1171195	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU02490; BSU02480; BSU02470; BSU02460	gudD; gudP; ycbD; ycbC	glucarate dehydratase; glucarate transporter; 2,5-dioxovalerate dehydrogenase; 5-dehydro-4-deoxyglucarate dehydratase
1171196	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02540; BSU02530	ycbK; rtpA	efflux transporter; anti-TRAP regulator
1171197	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU02580; BSU02570; BSU02560; BSU02550	ycbO; ycbN; ycbM; ycbL	Na+-driven exporter or maturation protein; ABC transporter ATP-binding protein; two-component sensor histidine kinase YcbL; two-component response regulator YcbM
1171198	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU02630; BSU02620; BSU02619	tatAD; phoD; yczK	twin-arginine pre-protein translocation pathway protein; phosphodiesterase/alkaline phosphatase D; hypothetical protein
1171199	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02680; BSU02670	lmrA; lmrB	transcriptional repressor of lmrAB and yxaGH operons; efflux transporter; drug-export protein
1171200	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02740; BSU02730	natR; natK	two-component response regulator NatK; two-component sensor histidine kinase NatR
1171201	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02760; BSU02750	natB; natA	Na+ ABC efflux transporter permease; Na+ ABC efflux transporter ATP-binding protein
1171202	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02840; BSU02830	ycdG; ycdF	glycosidase; dehydrogenase
1171203	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU02870; BSU02860; BSU02850	adcB; adcC; adcA	high affinity Zn(II) ABC transporter permease; Zn(II) transporter ATP-binding protein; Zn(II)-binding lipoprotein
1171204	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU02920; BSU02910; BSU02900; BSU02890	yceF; yceE; yceD; yceC	stress adaptation transporter; stress adaptation protein; stress adaptation protein; stress adaptation protein
1171205	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU02940; BSU02930	yceH; yceG	hypothetical protein; hypothetical protein
1171206	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU03000; BSU02990; BSU02980	opuAC; opuAB; opuAA	glycine betaine ABC transporter glycine betaine-binding lipoprotein; glycine betaine ABC transporter permease; glycine/betaine ABC transporter ATP-binding protein
1171207	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03060; BSU03050	lctP; ldh	L-lactate permease; L-lactate dehydrogenase
1171208	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03100; BSU03090	ycgG; ycgF	hypothetical protein; aminoacid export permease
1171209	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03210; BSU03200	ycgN; ycgM	1-pyrroline-5-carboxylate dehydrogenase; proline oxidase
1171210	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03250; BSU03240	ycgR; ycgQ	permease; hypothetical protein
1171211	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU03300; BSU03290; BSU03280	nasD; nasE; nasF	assimilatory nitrite reductase subunit; assimilatory nitrite reductase subunit; uroporphyrin-III C-methyltransferase
1171212	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03320; BSU03310	nasB; nasC	assimilatory nitrate reductase electron transfer subunit; assimilatory nitrate reductase catalytic subunit
1171213	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03350; BSU03340	yciB; yciA	metal uptake system lipoprotein; GTP cyclohydrolase
1171214	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03360; BSU03359	yciC; yczL	metallochaperone with NTPase activity; hypothetical protein
1171215	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03380; BSU03370	yckB; yckA	ABC transporter binding lipoprotein; ABC transporter permease
1171216	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03430; BSU03420	nucA; nin	endonuclease; inhibitor of the DNA degrading activity of NucA (competence)
1171217	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03460; BSU03450	hxlA; hxlB	3-hexulose-6-phosphate synthase; 6-phospho-3-hexuloisomerase (PHI)
1171218	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU03500; BSU03490; BSU03480	comS; srfAB; srfAA	regulator of genetic competence; surfactin synthetase; surfactin synthetase
1171219	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03520; BSU03510	srfAD; srfAC	surfactin synthetase; surfactin synthetase
1171220	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03550; BSU03540	ycxC; ycxB	permease; hypothetical protein
1171221	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU03610; BSU03600; BSU03590	tcyA; tcyB; tcyC	cystine ABC transporter substrate-binding lipoprotein; cystine ABC transporter permease; cystine ABC transporter ATP-binding protein
1171222	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU03652; BSU03651; BSU03640; BSU03630	yclD; bsdD; ubiD; yclB	FMN-binding enzyme subunit; nonoxidative vanillate/4-hydroxybenzoate decarboxylase subunit; 3-polyprenyl-4-hydroxybenzoate decarboxylase; aromatic acid decarboxylase
1171223	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU03720; BSU03710; BSU03700	gerKB; gerKC; gerKA	spore germination receptor subunit; spore germination receptor subunit; spore germination receptor subunit
1171224	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03740; BSU03730	yclI; yclH	transporter; ABC transporter ATPase component
1171225	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03760; BSU03750	yclK; yclJ	two-component sensor histidine kinase YclJ; two-component response regulator YclK
1171226	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03780; BSU03770	phrC; rapC	secreted regulator of the activity of phosphatase RapC; response regulator aspartate phosphatase
1171227	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU03830; BSU03820; BSU03810; BSU03800	yclQ; yclP; yclO; yclN	iron-siderophore ABC transporter binding lipoprotein; iron-siderophore ABC transporter ATP-binding protein; iron-siderophore ABC transporter permease; iron-siderophore ABC transporter permease
1171228	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03850; BSU03840	ycnC; ycnB	TetR family transcriptional regulator; efflux transporter
1171229	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03870; BSU03860	ycnE; ycnD	hypothetical protein; NADPH-FMN oxidoreductase
1171230	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03910; BSU03900	gabD; gabT	succinate-semialdehyde dehydrogenase; 4-aminobutyrate aminotransferase
1171231	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU03930; BSU03920	gdh; glcU	glucose-1-dehydrogenase; glucose permease
1171232	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU03960; BSU03950; BSU03940	ycnK; ycnJ; ycnI	DeoR family transcriptional regulator; copper import protein; hypothetical protein
1171233	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU03990; BSU03982; BSU03981	mtlD; mtlF; mtlA	mannitol-1-phosphate 5-dehydrogenase; phosphotransferase system (PTS) mannitol-specific enzyme IIA component; phosphotransferase system (PTS) mannitol-specific enzyme IICB component
1171234	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU04110; BSU04100; BSU04090; BSU04080; BSU04070; BSU04060; BSU04050	lipC; kipR; kipA; kipI; ycsI; ycsG; ycsF	lysophopholipase; IclR family transcriptional regulator; hydrolase; inhibitor of the autophosphorylation reaction of KinA; hypothetical protein; branched chain amino acids transporter; LamB/YcsF family protein
1171235	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04200; BSU04190	ydaE; ydaD	hypothetical protein; short chain dehydrogenase
1171236	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04220; BSU04210	ydaG; ydaF	general stress protein; ribosomal protein N-acetyltransferase
1171237	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04260; BSU04250	topB; lrpC	DNA topoisomerase III; Lrp/AsnC family transcriptional regulator
1171238	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU04310; BSU04300; BSU04290; BSU04280; BSU04270	ydaN; ydaM; ydaL; ydaK; ydaJ	regulator; glycosyltransferase; hypothetical protein; hypothetical protein; glycosyl hydrolase lipoprotein
1171239	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04340; BSU04330	ydaP; mutT	pyruvate oxidase; NTP pyrophosphohydrolase
1171240	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04420; BSU04410	ydbC; ydbB	hypothetical protein; hypothetical protein
1171241	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04460; BSU04450	dctR; dctS	two-component response regulator; two-component sensor histidine kinase
1171242	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04500; BSU04490	ydbK; ydbJ	efflux ABC-transporter permease; ABC transporter ATP-binding protein
1171243	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04570; BSU04560	murF; ddl	UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate-D-alanyl-D-alanine ligase; D-alanyl-alanine synthetase A
1171244	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04600; BSU04590	ydbT; ydbS	hypothetical protein; hypothetical protein
1171245	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU04660; BSU04650	ndoA; endB	endoribonuclease toxin; antitoxin MazF
1171246	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	8	BSU04740; BSU04730; BSU04720; BSU04710; BSU04700; BSU04690; BSU04680; BSU04670	rsbX; sigB; rsbW; rsbV; rsbU; rsbT; rsbS; rsbRA	serine phosphatase; RNA polymerase sigma factor SigB; serine-protein kinase RsbW; anti-anti-sigma factor (antagonist of RsbW); serine phosphatase; switch protein/serine-threonine kinase; antagonist of RsbT; piezosome protein
1171247	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU04770; BSU04760; BSU04750	ydcH; ydcG; ydcF	transcriptional regulator; hypothetical protein; hypothetical protein
1171248	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU04820; BSU04810; BSU04800	immR; immA; ydcL	phage element (ICEBs1)transcriptional regulator (Xre family); immunity anti-repressor conserved in prophages; phage integrase
1171249	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU04840; BSU04839; BSU04830	ydcO; ydzL; sacV	hypothetical protein; hypothetical protein; transcriptional regulator
1171250	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU04870; BSU04860; BSU04850	ydcR; ydcQ; ydcP	replication protein; mobile element region; DNA wielding protein; mobile element region; hypothetical protein
1171251	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	11	BSU04980; BSU04970; BSU04960; BSU04950; BSU04940; BSU04930; BSU04920; BSU04910; BSU04900; BSU04890; BSU04880	yddI; yddH; yddG; yddF; yddE; yddD; yddC; yddB; yddA; ydcT; ydcS	hypothetical protein; cell wall hydrolase; mobile element region; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein; hypothetical protein
1171252	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05020; BSU05010	phrI; rapI	secreted regulator of the activity of phosphatase RapI; response regulator aspartate phosphatase
1171253	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05100; BSU05099	yddT; ydzM	hypothetical protein; hypothetical protein
1171254	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05340; BSU05330	ydfA; aseR	metal-anion antiporter protein; ArsR-SmtB repressors family transcriptional regulator
1171255	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05409; BSU05408	ydzQ; ydzP	hypothetical protein; hypothetical protein
1171256	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05420; BSU05410	ydfI; ydfH	two-component response regulator YdfH; two-component sensor histidine kinase YdfI
1171257	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05490; BSU05480	ydfO; ydfN	dioxygenase; oxidoreductase
1171258	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU05570; BSU05560; BSU05550	ydgB; ydgA; cotP	hypothetical protein; hypothetical protein; spore coat protein
1171259	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05590; BSU05580	ydgD; ydgC	hypothetical protein; transcriptional regulator
1171260	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05650; BSU05640	ydgH; ydgG	hypothetical protein; MarR family transcriptional regulator
1171261	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05670; BSU05660	ydgJ; ydgI	MarR family transcriptional regulator; dehydrogenase
1171262	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU05770; BSU05760	ydhI; ydhH	acetyltransferase; hypothetical protein
1171263	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU05840; BSU05830; BSU05820; BSU05810	gmuD; gmuC; gmuA; gmuB	mannoside-phospho-beta-d-glucosidase; oligo-alpha-mannoside phosphotransferase system enzyme IIC; oligo-alpha-mannoside phosphotransferase system enzyme IIA; oligo-alpha-mannoside phosphotransferase system enzyme IIB
1171264	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU05880; BSU05870; BSU05860; BSU05850	gmuG; gmuF; gmuE; gmuR	exported mannan endo-1,4-beta-mannosidase; phosphohexomutase; cupin family; carbohydrate kinase; GntR family transcriptional regulator
1171265	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU05940; BSU05930; BSU05920; BSU05910; BSU05900	gcp; rimI; ydiC; ydiB; thiL	DNA-binding/iron metalloprotein/AP endonuclease; ribosomal protein S18 alanine N-acetyltransferase; chaperone or protease; ATPase or kinase UPF0079; thiamine monophosphate kinase
1171266	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU05990; BSU05980; BSU05970; BSU05960	tatCY; tatAY; ydiH; moaC	twin-arginine pre-protein translocation pathway protein; twin-arginine pre-protein translocation pathway protein; redox-sensing transcriptional repressor Rex; molybdenum cofactor biosynthesis protein MoaC
1171267	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06010; BSU06000	ydiL; ydiK	membrane protease; hypothetical protein
1171268	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06030; BSU06020	groEL; groES	chaperonin GroEL; co-chaperonin GroES
1171269	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06070; BSU06060	ydiP; ydiO	DNA-methyltransferase; DNA-methyltransferase
1171270	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU06110; BSU06100; BSU06090	ydjA; ydiS; ydiR	BsuM intrinsic DNA restriction component; DNA restriction enzyme component; BsuM restriction component
1171271	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06160; BSU06150	gutP; gutB	H+-glucitol symporter; glucitol (sorbitol) dehydrogenase
1171272	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU06210; BSU06200; BSU06190; BSU06180	ydjI; ydjH; ydjG; pspA	hypothetical protein; hypothetical protein; phage replication protein; phage shock protein A
1171273	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06290; BSU06280	yeaA; ydjP	hypothetical protein; peroxydase
1171274	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06319; BSU06310	ydzX; gabP	hypothetical protein; gamma-aminobutyrate (GABA) permease
1171275	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU06350; BSU06340; BSU06330	yebA; yeaD; yeaC	hypothetical protein; hypothetical protein; hypothetical protein
